age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,State-gov,77516,Bachelors,13,Not-Married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Self-emp,83311,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,215646,HS-or-less,9,Previously-Married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,234721,HS-or-less,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,338409,Bachelors,13,Married,Prof-specialty,Wife,Black,Female,0,0,40,Other,<=50K
37,Private,284582,Masters,14,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,160187,HS-or-less,5,Married,Other-service,Not-in-family,Black,Female,0,0,16,Other,<=50K
52,Self-emp,209642,HS-or-less,9,Married,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,45781,Masters,14,Not-Married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
42,Private,159449,Bachelors,13,Married,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K
37,Private,280464,Some-college,10,Married,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K
30,State-gov,141297,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Other,>50K
23,Private,122272,Bachelors,13,Not-Married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,205019,Assoc,12,Not-Married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
40,Private,121772,Assoc,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Other,>50K
34,Private,245487,HS-or-less,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Other,<=50K
25,Self-emp,176756,HS-or-less,9,Not-Married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
32,Private,186824,HS-or-less,9,Not-Married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
38,Private,28887,HS-or-less,7,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
43,Self-emp,292175,Masters,14,Previously-Married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K
40,Private,193524,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
54,Private,302146,HS-or-less,9,Previously-Married,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,76845,HS-or-less,5,Married,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,117037,HS-or-less,7,Married,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
59,Private,109015,HS-or-less,9,Previously-Married,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,216851,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,168294,HS-or-less,9,Not-Married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
